objectid,CNN,ST_NAME,ST_TYPE,DISTRICT,COLLECTN,PRKG_SPLY,YEAR,shape,data_as_of,data_loaded_at
935,1679000,31ST,AVE,01,FIELD,38,2010,"LINESTRING (-122.491436411 37.783591416, -122.491298863 37.781726073)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
623,8910000,MCALLISTER,ST,01,FIELD,10,2011,"LINESTRING (-122.454846634 37.77568499, -122.45544067 37.775611298)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
923,2019000,46TH,AVE,01,FIELD,33,2011,"LINESTRING (-122.506821259 37.773407011, -122.506685314 37.771542479)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
2239,5954000,FULTON,ST,01,FIELD,17,2011,"LINESTRING (-122.507750665 37.771495034, -122.508823169 37.771445516)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
781,389000,08TH,AVE,01,FIELD,47,2010,"LINESTRING (-122.466562653 37.782849408, -122.466426902 37.780924588)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
1399,4160000,CLEMENT,ST,01,FIELD,27,2010,"LINESTRING (-122.469769992 37.782701905, -122.470845996 37.782652401)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
603,3474000,CABRILLO,ST,01,FIELD,18,2011,"LINESTRING (-122.466018713 37.77527143, -122.467086295 37.775222829)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
597,353000,07TH,AVE,01,FIELD,29,2010,"LINESTRING (-122.46535287 37.780965491, -122.46521066 37.779042579)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
592,2311000,ANZA,ST,01,FIELD,30,2010,"LINESTRING (-122.452895517 37.780363045, -122.45387663 37.780239048)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
862,1768000,35TH,AVE,01,FIELD,39,2012,"LINESTRING (-122.495039059 37.773946844, -122.494903299 37.772080795)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
1406,19766000,VETERANS,DR,01,REMOTE,0,2014,"LINESTRING (-122.504160424 37.781126511, -122.504213267 37.781242493, -122.504280321 37.78129344, -122.5043927 37.781320176, -122.505600191 37.781403815, -122.505696015 37.781425625, -122.505785837 37.78146837, -122.50584668 37.781532445, -122.505930149 37.781583111, -122.506002787 37.781597501, -122.506340955 37.781594351, -122.506445433 37.781571738, -122.506562618 37.781533283, -122.50669706 37.781525786, -122.50687781 37.781530522, -122.506990189 37.781557257, -122.507082944 37.78158693, -122.507392228 37.781730112, -122.507501958 37.78178033, -122.50755659 37.781857532, -122.507601655 37.781945312, -122.507594411 37.782041797, -122.507547777 37.782138952, -122.507484171 37.78218476)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
607,3470000,CABRILLO,ST,01,FIELD,16,2010,"LINESTRING (-122.461733428 37.7754674, -122.462804752 37.775417908)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
4081,3476000,CABRILLO,ST,01,FIELD,16,2011,"LINESTRING (-122.468158437 37.775174011, -122.469226882 37.775125352)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
5522,6081201,GEARY,BLVD,01,FIELD,11,2010,"LINESTRING (-122.48366195 37.78014306, -122.483788952 37.78020585, -122.48460383 37.780167788, -122.484732261 37.780092582)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
5508,12895000,UNNAMED 010,,01,FIELD,0,2010,"LINESTRING (-122.497638809 37.780102156, -122.4979327 37.780089994, -122.498189926 37.780143219, -122.498335703 37.780165429, -122.498714325 37.780167352)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
5506,6092201,GEARY,BLVD,01,FIELD,4,2010,"LINESTRING (-122.495440519 37.779591243, -122.49556481 37.779647979, -122.496390011 37.779613718, -122.49652387 37.779550582)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
4693,1138000,22ND,AVE,01,FIELD,41,2012,"LINESTRING (-122.481112865 37.774583379, -122.480978765 37.772716283)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
3710,1295000,24TH,AVE,01,FIELD,35,2012,"LINESTRING (-122.483525397 37.778214306, -122.48339012 37.776351005)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
4669,1822000,37TH,AVE,01,FIELD,47,2010,"LINESTRING (-122.497454524 37.777579371, -122.497318727 37.775715416)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
5511,6091201,GEARY,BLVD,01,FIELD,18,2010,"LINESTRING (-122.494380665 37.779649756, -122.494504575 37.779692298, -122.495306986 37.779666546, -122.495440519 37.779591243)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
4668,1704000,32ND,AVE,01,FIELD,38,2012,"LINESTRING (-122.492094888 37.777822692, -122.491959443 37.775960059)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
3949,1074000,21ST,AVE,01,FIELD,27,2010,"LINESTRING (-122.480590016 37.782212312, -122.480450629 37.780280238)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
3956,4404000,CORNWALL,ST,01,FIELD,8,2010,"LINESTRING (-122.459133706 37.785058872, -122.460269601 37.785006282)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
1044,2223000,ALTA MAR,WAY,01,FIELD,10,2010,"LINESTRING (-122.507891879 37.780720539, -122.507836298 37.779958484)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
4684,1823000,37TH,AVE,01,FIELD,44,2012,"LINESTRING (-122.497318727 37.775715416, -122.497182737 37.773848713)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
2849,5926000,FULTON,ST,01,FIELD,20,2012,"LINESTRING (-122.477766947 37.772863654, -122.478836951 37.772814567)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
3307,2508000,ASHBURY,ST,05,FIELD,15,2010,"LINESTRING (-122.448067929 37.775599295, -122.4478778 37.774667367)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
2857,12675000,TRANSVERSE,DR,01,FIELD,0,2010,"LINESTRING (-122.479895427 37.770495879, -122.480022315 37.770620065, -122.480240496 37.77089438, -122.480447031 37.771096822, -122.480649091 37.771253008, -122.480872959 37.771375367, -122.481082893 37.771461925, -122.481466065 37.771597049, -122.481607906 37.77168475, -122.481785355 37.771888002)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
1124,387000,08TH,AVE,02,FIELD,34,2012,"LINESTRING (-122.466830336 37.786568135, -122.466694443 37.784715522)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
2196,901000,19TH,AVE,02,FIELD,18,2012,"LINESTRING (-122.478764835 37.786737882, -122.478713573 37.78603127)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
479,12082000,STANYAN,ST,01,FIELD,3,2011,"LINESTRING (-122.454846634 37.77568499, -122.454764269 37.7755268)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
474,12749000,TURK,BLVD,01,FIELD,13,2011,"LINESTRING (-122.454331408 37.777712789, -122.455216942 37.777599279)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
472,155000,03RD,AVE,01,FIELD,36,2010,"LINESTRING (-122.461062828 37.781160262, -122.460931268 37.77923468)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
